ScenID;Year;IntRate
1;0;0,015
1;1;0,015
1;2;0,015
1;3;0,015
1;4;0,015
1;5;0,015
1;6;0,015
1;7;0,015
1;8;0,015
1;9;0,015
1;10;0,015
1;11;0,015
1;12;0,015
1;13;0,015
1;14;0,015
1;15;0,015
1;16;0,015
1;17;0,015
1;18;0,015
1;19;0,015
1;20;0,015
1;21;0,015
1;22;0,015
1;23;0,015
1;24;0,015
1;25;0,015
1;26;0,015
1;27;0,015
1;28;0,015
1;29;0,015
1;30;0,015
1;31;0,015
1;32;0,015
1;33;0,015
1;34;0,015
1;35;0,015
1;36;0,015
1;37;0,015
1;38;0,015
1;39;0,015
1;40;0,015
1;41;0,015
1;42;0,015
1;43;0,015
1;44;0,015
1;45;0,015
1;46;0,015
1;47;0,015
1;48;0,015
1;49;0,015
1;50;0,015
1;51;0,015
1;52;0,015
1;53;0,015
1;54;0,015
1;55;0,015
1;56;0,015
1;57;0,015
1;58;0,015
1;59;0,015
1;60;0,015
1;61;0,015
1;62;0,015
1;63;0,015
1;64;0,015
1;65;0,015
1;66;0,015
1;67;0,015
1;68;0,015
1;69;0,015
1;70;0,015
1;71;0,015
1;72;0,015
1;73;0,015
1;74;0,015
1;75;0,015
1;76;0,015
1;77;0,015
1;78;0,015
1;79;0,015
1;80;0,015
1;81;0,015
1;82;0,015
1;83;0,015
1;84;0,015
1;85;0,015
1;86;0,015
1;87;0,015
1;88;0,015
1;89;0,015
1;90;0,015
1;91;0,015
1;92;0,015
1;93;0,015
1;94;0,015
1;95;0,015
1;96;0,015
1;97;0,015
1;98;0,015
1;99;0,015
1;100;0,015
1;101;0,015
1;102;0,015
1;103;0,015
1;104;0,015
1;105;0,015
1;106;0,015
1;107;0,015
1;108;0,015
1;109;0,015
1;110;0,015
1;111;0,015
1;112;0,015
1;113;0,015
1;114;0,015
1;115;0,015
1;116;0,015
1;117;0,015
1;118;0,015
1;119;0,015
1;120;0,015
1;121;0,015
1;122;0,015
1;123;0,015
1;124;0,015
1;125;0,015
1;126;0,015
1;127;0,015
1;128;0,015
1;129;0,015
1;130;0,015
1;131;0,015
1;132;0,015
1;133;0,015
1;134;0,015
1;135;0,015
1;136;0,015
1;137;0,015
1;138;0,015
1;139;0,015
1;140;0,015
1;141;0,015
1;142;0,015
1;143;0,015
1;144;0,015
1;145;0,015
1;146;0,015
1;147;0,015
1;148;0,015
1;149;0,015
1;150;0,015
2;0;0,02
2;1;0,02
2;2;0,02
2;3;0,02
2;4;0,02
2;5;0,02
2;6;0,02
2;7;0,02
2;8;0,02
2;9;0,02
2;10;0,02
2;11;0,02
2;12;0,02
2;13;0,02
2;14;0,02
2;15;0,02
2;16;0,02
2;17;0,02
2;18;0,02
2;19;0,02
2;20;0,02
2;21;0,02
2;22;0,02
2;23;0,02
2;24;0,02
2;25;0,02
2;26;0,02
2;27;0,02
2;28;0,02
2;29;0,02
2;30;0,02
2;31;0,02
2;32;0,02
2;33;0,02
2;34;0,02
2;35;0,02
2;36;0,02
2;37;0,02
2;38;0,02
2;39;0,02
2;40;0,02
2;41;0,02
2;42;0,02
2;43;0,02
2;44;0,02
2;45;0,02
2;46;0,02
2;47;0,02
2;48;0,02
2;49;0,02
2;50;0,02
2;51;0,02
2;52;0,02
2;53;0,02
2;54;0,02
2;55;0,02
2;56;0,02
2;57;0,02
2;58;0,02
2;59;0,02
2;60;0,02
2;61;0,02
2;62;0,02
2;63;0,02
2;64;0,02
2;65;0,02
2;66;0,02
2;67;0,02
2;68;0,02
2;69;0,02
2;70;0,02
2;71;0,02
2;72;0,02
2;73;0,02
2;74;0,02
2;75;0,02
2;76;0,02
2;77;0,02
2;78;0,02
2;79;0,02
2;80;0,02
2;81;0,02
2;82;0,02
2;83;0,02
2;84;0,02
2;85;0,02
2;86;0,02
2;87;0,02
2;88;0,02
2;89;0,02
2;90;0,02
2;91;0,02
2;92;0,02
2;93;0,02
2;94;0,02
2;95;0,02
2;96;0,02
2;97;0,02
2;98;0,02
2;99;0,02
2;100;0,02
2;101;0,02
2;102;0,02
2;103;0,02
2;104;0,02
2;105;0,02
2;106;0,02
2;107;0,02
2;108;0,02
2;109;0,02
2;110;0,02
2;111;0,02
2;112;0,02
2;113;0,02
2;114;0,02
2;115;0,02
2;116;0,02
2;117;0,02
2;118;0,02
2;119;0,02
2;120;0,02
2;121;0,02
2;122;0,02
2;123;0,02
2;124;0,02
2;125;0,02
2;126;0,02
2;127;0,02
2;128;0,02
2;129;0,02
2;130;0,02
2;131;0,02
2;132;0,02
2;133;0,02
2;134;0,02
2;135;0,02
2;136;0,02
2;137;0,02
2;138;0,02
2;139;0,02
2;140;0,02
2;141;0,02
2;142;0,02
2;143;0,02
2;144;0,02
2;145;0,02
2;146;0,02
2;147;0,02
2;148;0,02
2;149;0,02
2;150;0,02
3;0;0,01
3;1;0,01
3;2;0,01
3;3;0,01
3;4;0,01
3;5;0,01
3;6;0,01
3;7;0,01
3;8;0,01
3;9;0,01
3;10;0,01
3;11;0,01
3;12;0,01
3;13;0,01
3;14;0,01
3;15;0,01
3;16;0,01
3;17;0,01
